 : 1190327 occurence
L145_L100 : 1 occurence
S563_C250 : 1 occurence
B000_M623 : 1 occurence
N360_C526_T520 : 1 occurence
P634_S350 : 1 occurence
N360_D500_D000_S260 : 1 occurence
U536_V200 : 1 occurence
S353_S300_F630 : 1 occurence
F250_A600 : 1 occurence
E000_M210 : 1 occurence
M521_D652_W360 : 1 occurence
S152_G450 : 1 occurence
S520_O530 : 1 occurence
M260_I526 : 1 occurence
F420_W450 : 1 occurence
O200_R420 : 1 occurence
S100_I516 : 1 occurence
B430_B420 : 1 occurence
T615_O160 : 1 occurence
L230_A656_V240 : 1 occurence
S153_T500 : 1 occurence
Y640 : 1 occurence
M300_H200 : 1 occurence
C514_P224_E255 : 1 occurence
S350 : 39 occurence
F600_T400 : 1 occurence
S240_G650 : 1 occurence
T143_N211 : 1 occurence
O124_B261 : 1 occurence
C232_W300 : 1 occurence
P650_O300 : 1 occurence
A132 : 10 occurence
B300_S300 : 2 occurence
P630_S363_Z200 : 1 occurence
S260_S320 : 1 occurence
F530_G430 : 1 occurence
B236_I512 : 1 occurence
B250_Y526 : 1 occurence
P652_C200 : 1 occurence
P632_F300 : 2 occurence
A530_M365 : 1 occurence
O162_B436 : 1 occurence
K413 : 2 occurence
T200_S632 : 1 occurence
L323_T230 : 1 occurence
G300_O300_O100_H200 : 1 occurence
A425_N310 : 1 occurence
W300_V630 : 1 occurence
P543_S300_O300 : 1 occurence
C100_S124 : 1 occurence
D214_W430 : 1 occurence
M460 : 6 occurence
P433_G653 : 1 occurence
P524_B200 : 1 occurence
R210_C460_S120 : 1 occurence
T516_L355_C454 : 1 occurence
B400_D140 : 1 occurence
M152_A300 : 1 occurence
W350_B200 : 1 occurence
C342_P653 : 1 occurence
S165_T536 : 1 occurence
F620_C430 : 1 occurence
M534_A245 : 1 occurence
R254_A523 : 1 occurence
S524_P160 : 1 occurence
S633_W300 : 1 occurence
F355 : 1 occurence
T200_S650_K200 : 1 occurence
S524_H533_B253 : 1 occurence
T255_D162 : 1 occurence
L230_A420 : 1 occurence
S611_S500 : 1 occurence
M152_F663 : 1 occurence
C250_O613 : 1 occurence
S400_Y600 : 1 occurence
G650_A420 : 1 occurence
M530 : 24 occurence
G520_A231 : 1 occurence
M534_A333 : 1 occurence
M436_D125 : 1 occurence
W420_T620_W400 : 1 occurence
E640_E513 : 1 occurence
C600_F300 : 2 occurence
C200_Y520 : 1 occurence
C520_T200 : 1 occurence
V600_W340 : 1 occurence
A362_L500 : 1 occurence
N520_P000 : 1 occurence
A145_F425 : 1 occurence
L533 : 3 occurence
N636_C230 : 1 occurence
S526_F653 : 1 occurence
C620_S530 : 1 occurence
G653_R236 : 1 occurence
D100_H400 : 1 occurence
O260_S136 : 1 occurence
S300_P236 : 1 occurence
F400_H300 : 2 occurence
L263_U100 : 1 occurence
P500_W235 : 1 occurence
W452_S100 : 1 occurence
F530_M340 : 1 occurence
D100_P625 : 1 occurence
F236_G653_P626 : 1 occurence
N232_S526 : 1 occurence
S450_C655 : 1 occurence
C423_G650 : 1 occurence
U524_D135 : 1 occurence
Y520_A343 : 1 occurence
B252_D400 : 1 occurence
K365 : 1 occurence
S400_C640 : 2 occurence
E526_P616_H250 : 1 occurence
S650 : 21 occurence
P342 : 13 occurence
T140_M555 : 1 occurence
P630_R300 : 1 occurence
H300_G640 : 2 occurence
E263_P626 : 1 occurence
C100_L240_C524 : 1 occurence
E223_C524 : 1 occurence
C653_D216 : 1 occurence
P600_F630_F240 : 1 occurence
A531_O535 : 2 occurence
R530_A100 : 1 occurence
S600_M424_S625 : 1 occurence
F552_S221 : 1 occurence
